# rho    alphac
.01	.06124395943638571
.02	.10418139412976679
.03	.14090609576741608
.04	.1737844250406303
.05	.20389985632964003
.06	.23187295672287322
.07	.2581043392407143
.08	.28287303223072097
.09	.3063839345136222
.1	.3287935054536302
.11	.3502248683067494
.12	.3707772603201378
.13	.3905322416966367
.14	.40955793908366234
.15	.4279120416303711
.16	.44564397487282037
.17	.46279651520040477
.18	.479407013175397
.19	.4955083368372166
.2	.5111296103730969
.21	.526296800499101
.22	.5410331876590603
.23	.5553597488375989
.24	.5692954716601785
.25	.5828576144406178
.26	.5960619232500672
.27	.6089228144760781
.28	.6214535294214872
.29	.6336662660614758
.3	.6455722919969774
.31	.6571820418186574
.32	.6685052014608761
.33	.6795507816314569
.34	.6903271820159508
.35	.70084224764904
.36	.711103318601924
.37	.7211172739389727
.38	.7308905707390135
.39	.7404292788483018
.4	.7497391119273524
.41	.7588254552676161
.42	.7676933907827739
.43	.7763477195202918
.44	.7847929819895596
.45	.7930334765615918
.46	.8010732761604946
.47	.8089162434375013
.48	.8165660445934481
.49	.8240261619943323
.5	.8312999057064562
.51	.8383904240621073
.52	.8453007133533506
.53	.8520336267399662
.54	.8585918824475804
.55	.8649780713233638
.56	.8711946638091363
.57	.8772440163851251
.58	.8831283775318703
.59	.8888498932527209
.6	.8944106121949176
.61	.8998124904033569
.62	.9050573957376666
.63	.9101471119801687
.64	.9150833426595923
.65	.9198677146129912
.66	.9245017813061707
.67	.9289870259310149
.68	.9333248642963933
.69	.9375166475277938
.7	.9415636645894503
.71	.9454671446414977
.72	.9492282592435777
.73	.9528481244153066
.74	.9563278025631166
.75	.9596683042821548
.76	.9628705900411838
.77	.9659355717577476
.78	.9688641142702542
.79	.9716570367130619
.8	.974315113800148
.81	.9768390770224651
.82	.9792296157636646
.83	.9814873783384717
.84	.9836129729576277
.85	.9856069686229916
.86	.9874698959560684
.87	.9892022479629599
.88	.9908044807384533
.89	.992277014111725
.9	.9936202322358975
.91	.9948344841234745
.92	.9959200841294708
.93	.9968773123838631
.94	.9977064151748045
.95	.9984076052838677
.96	.9989810622744216
.97	.9994269327340803
.98	.9997453304720133
.99	.999936336671754
1	1
