100  0.3       0.792903     0.0168035
100  0.407595  0.469976     0.0114823
100  0.515191  0.250711     0.0103571
100  0.622786  0.0740809    0.00751202
100  0.730382  0.00221779   0.00152081
100  0.837977  1.43289e-15  1.20732e-16
100  0.945572  1.34531e-15  9.78563e-17

200  0.3       0.811841     0.0125586
200  0.407595  0.488439     0.00936158
200  0.515191  0.250646     0.00749476
200  0.622786  0.0423354    0.00480531
200  0.730382  8.98184e-15  9.84321e-16
200  0.837977  7.93902e-15  6.4891e-16
200  0.945572  8.93102e-15  8.49925e-16

500  0.3       0.806185     0.0079715
500  0.407595  0.491524     0.00574854
500  0.515191  0.242748     0.00483883
500  0.622786  0.0507971    0.00418029
500  0.730382  7.91636e-14  1.92149e-15
500  0.837977  8.43354e-14  4.5108e-15
500  0.945572  7.89887e-14  2.05106e-15
